"Organização";"Nome";"Descrição";"Tags";"Quantidade Recursos";"Quantidade Reusos";"Quantidade Downloads";"Quantidade Seguidores"
"Ministério da Fazenda";"Quantidade de Usuários Cadastrados no Sistema Integrado de Administração Financeira - SIAFI, por Nível de Acesso";"Este conjunto de dados apresenta a quantidade de usuários cadastrados no SIAFI considerando o seu Nível de Acesso.  ";"Gestão Corporativa,Nível de Acesso SIAFI,SIAFI,Usuários SIAFI";"3";"0";"13";"0"
"Ministério da Fazenda";"Relatório de Gestão Fiscal (RGF) dos Entes da Federação";"Abrange os dados da União, os Estados, o Distrito Federal e os Municípios, estando compreendido: a) na esfera federal: o Poder Legislativo (incluído o Tribunal de Contas da União), o Poder Judiciário (incluindo o Tribunal de Justiça do Distrito Federal), o Poder Executivo e o Ministério Público da União (incluindo o Ministério Público do Distrito Federal); b) na esfera distrital: o Poder Legislativo (incluído o Tribunal de Contas do Distrito Federal) e o Poder Executivo; c) na esfera estadual: o Poder Legislativo (incluído o Tribunal de Contas do Estado), o Poder Judiciário, o Poder Executivo, o Ministério Público Estadual; e d) na esfera municipal: o Poder Legislativo (incluído o Tribunal de Contas do Município, quando houver) e o Poder Executivo, todos que publicaram seus relatórios no Siconfi. O art. 48 da  Lei Complementar nº 101/2000 dispõe que ao final de cada quadrimestre os titulares de Poderes e órgãos emitirão Relatório de Gestão Fiscal.";"Contabilidade Pública,Estados e Municípios,Gestão Fiscal,LRF,Limites,União";"2";"0";"39";"0"
"Ministério da Fazenda";"Quantidade de Usuários Cadastrados no Sistema Integrado de Administração Financeira - SIAFI";"Este conjunto de dados apresenta os quantitativos de usuários separados de acordo com sua situação de habilitação no SIAFI (Ativos, Inativos, Bloqueados, Inibidos e Suspensos) além da quantidade total de usuários cadastrados no sistema. Os dados são apresentados por Exercício Financeiro.";"Gestão Corporativa,SIAFI,Usuários SIAFI";"3";"0";"5";"0"
"Ministério da Fazenda";"Relatórios do RTN";"Relatórios publicados por ocasião da divulgação do Resultado do Tesouro Nacional";"";"350";"0";"0";"0"
"Ministério da Fazenda";"Operações de crédito a contratar de estados e municípios";"No âmbito da verificação de limites e condições para contratação de operações de crédito e garantias por governos regionais (ver Manual para Instrução de Pleitos, em conteudo.tesouro.gov.br/mip), os governos regionais submetem à Secretaria do Tesouro Nacional (STN) ou à instituição financeira credora dados sobre pedidos de verificação de limites e condições (PVLs) em tramitação ou PVLs deferidos que ainda não resultaram na contratação de operação de crédito ou garantia.";"Estados e Municípios,LRF,PVL,operações de crédito";"2";"0";"14";"0"
"Ministério da Fazenda";"Espaço Fiscal dos Estados e do Distrito Federal";"Este conjunto de dados contém o acréscimo de Espaço Fiscal dado a cada ano para os Estados e o Distrito Federal. Entende-se como Espaço Fiscal o valor limite que cada ente tem para inclusão de dívidas no Programa de Reestruturação e de Ajuste Fiscal (PAF). Tal Espaço representa um valor máximo para a contratação de quaisquer operações de crédito desejadas pelo ente, desde que observados os demais limites e condições previstos na legislação. ";"Ajuste Fiscal de Estados DF e Municípios,Estados,Estados e Municipios,Estados e Municípios";"2";"0";"8";"0"
"Ministério da Fazenda";"Serviço da Dívida de Estados e do Distrito Federal";"Este conjunto de dados abrange o serviço da dívida dos Governos estaduais e do DF, segregado por administração direta e administração indireta custeada pelo Tesouro estadual.";"Ajuste Fiscal de Estados,Ajuste Fiscal de Estados DF e Municípios,DF e Municípios,Estados e Municípios,Programa de Reestruturação e Ajuste Fiscal de Estados";"2";"0";"0";"0"
"Ministério da Fazenda";"Quantidade de Documentos Cadastrados por Dia no Sistema Integrado de Administração Financeira - SIAFI";"Este conjunto de dados apresenta a quantidade de documentos cadastrados por dia no SIAFI em cada Exercício Financeiro e mês de referência.  ";"Gestão Corporativa,SIAFI";"3";"0";"8";"0"
"Ministério da Fazenda";"Dados Abertos de Custos do Governo Federal - Demais Itens";"Este conjunto de dados contém os demais custos do Governo Federal";"Contabilidade Aplicada ao Setor Público,Contabilidade Pública,Custos,Custos da União,Finanças Públicas,Gestão de Custos";"2";"0";"20";"0"
"Ministério da Fazenda";"Saldos devedores e fluxo de recebimentos de haveres financeiros - Por Programa";"Dados sobre os saldos devedores e pagamentos realizados por entes subnacionais em decorrência de dívidas com a União. Os dados são divididos por programas (dívidas).";"Estados e Municípios,ativos da União,créditos,dívidas,empréstimos,financiamentos,haveres federais,haveres financeiros,refinanciamentos";"16";"0";"35";"0"
"Ministério da Fazenda";"Informações de Controle da Matriz de Saldos Contábeis (MSC) dos Entes da Federação";"Engloba o balancete mensal das contas de natureza orçamentária, classes 7 e 8 conforme PCASP. Os dados, além das contas contábeis são detalhados por informações complementares onde: PO - codificação de poder ou órgão, FR - fontes/destinação de recursos, FF - função da despesa, SF - subfunção, ES - atributo educação saúde, ND - natureza da despesa, AI - ano de inscrição de restos à pagar.";"BSPN,Contabilidade Pública,Estados e Municípios,LRF,MSC,Matriz de Saldos Contábeis,Siconfi,União";"2";"0";"5";"0"
"Ministério da Fazenda";"Cronogramas de pagamento de operações de crédito contratadas por estados e municípios";"No âmbito da verificação de limites e condições para contratação de operações de crédito e garantias por governos regionais (ver Manual para Instrução de Pleitos, em conteudo.tesouro.gov.br/mip), os governos regionais submetem à Secretaria do Tesouro Nacional (STN) ou à instituição financeira credora um cronograma projetado de pagamentos de sua dívida consolidada (DC) e das operações contratadas que ainda não compõe a DC.";"Estados e Municípios,LRF,PVL,operações de crédito";"2";"0";"2";"0"
"Ministério da Fazenda";"Saldos devedores e fluxo de recebimentos de haveres financeiros - Por Mutuário";"Dados sobre os saldos devedores e pagamentos realizados por entes subnacionais em decorrência de dívidas com a União. Os dados são divididos por programas (dívidas) e mutuários (Estados, Municípios e entidades de Administração Indireta).";"";"16";"0";"2";"0"
"Ministério da Fazenda";"Execução Orçamentária dos Estados e do Distrito Federal - PAF";"Este conjunto de dados contém as rubricas fiscais dos Estados e Distrito Federal utilizadas para análise no Programa de Reestruturação e de Ajuste Fiscal (PAF).";"Ajuste Fiscal de Estados DF e Municípios,Ajuste Fiscal de Estados e Municipios,Estados e Municipios,Estados e Municípios";"2";"0";"19";"0"
"Ministério da Fazenda";"Acompanhamento dos Projetos de TI do Tesouro Nacional";"Este conjunto de dados contém a informações sobre a execução dos Projetos de TI  na STN. Os dados estão listados conforme o projeto, seus status e data de início e fim previstos. Caso queira acessar o relatório completo dos Projetos de TI, acesse: http://stn.gov.br/web/stn/tecnologia-de-informacao";"Gestão Corporativa,Gestão de TI,TI";"5";"0";"22";"0"
"Ministério da Fazenda";"Relatório de Subsídios ao BNDES";"Subsídios do Tesouro Nacional ao BNDES 

A Secretaria do Tesouro Nacional publica as informações referentes aos Subsídios para o cumprimento das disposições do § 17 do art. 1º da Lei nº 12.096/ 2009, incluído pela Lei 13.132/2015, que estabelece: 

§ 17. O Ministério da Fazenda publicará, até o último dia do mês subsequente a cada bimestre, na internet, os seguintes demonstrativos: 

I - do impacto fiscal das operações do Tesouro Nacional com o BNDES, juntamente com a metodologia de cálculo utilizada, considerando o custo de captação do Governo Federal e o valor devido pela União; 

II - dos valores inscritos em restos a pagar nas operações de equalização de taxa de juros, no último exercício financeiro e no acumulado total. "" (NR) 

A primeira publicação, referente ao último bimestre de 2015, foi feita no formato de Relatório. Nessa publicação consta a metodologia de cálculo e outros esclarecimentos pertinentes. 
";"Banco Nacional de Desenvolvimento Econômico e Social - BNDES,PSI,Subsídios,Subsídios e Subvenções da União";"17";"0";"7";"0"
"Ministério da Fazenda";"Despesas com o Novo SIAFI - Ambiente de Produção";"Este conjunto de dados apresenta as despesas utilizadas para custeio do ambiente de produção do Novo SIAFI em cada Exercício Financeiro.  ";"Gestão Corporativa,SIAFI";"2";"0";"12";"0"
"Ministério da Fazenda";"Gastos Sociais do Governo Central - Despesas OFSS apenas Previdência Social";"A temática gasto social é frequentemente discutida na sociedade brasileira, especialmente em momentos de retração econômica e dificuldades fiscais. Questionamentos surgem a respeito da eficácia dos programas de governo e do montante dispendido com as rubricas em geral, não apenas as consideradas de cunho social. Entretanto, a complexidade do arcabouço orçamentário brasileiro dificulta uma visão global sobre a composição do gasto público e qual o significado econômico de tais dispêndios.

Diante disso, o objetivo das séries aqui dispostas é permitir uma análise do gasto social brasileiro a partir de uma série histórica anual iniciada em 2002 e evidenciar a composição desse gasto em sete categorias: assistência social; educação e cultura; organização agrária; previdência social; saneamento básico e habitação; saúde; e trabalho e emprego.

Uma vantagem obtida a partir da construção dessas séries foi justamente a possibilidade de se criar uma base tratada de dados com mais de 190 mil registros contábeis, o que permite analisar o dispêndio governamental brasileiro (seja social ou não) em diversas dimensões e diferentes métricas. Assim, pode-se analisar o gasto brasileiro por programa; ação; órgão que executou o gasto; função; subfunção; região em que foi aplicado o recurso; subtítulo (detalhamento sobre a localização física da ação); modalidade de aplicação; e GND – Grupo de Natureza de Despesa.

Importante destacar que este trabalho representa um avanço significativo na análise do gasto social público uma vez que estabelece o entendimento da Secretaria do Tesouro Nacional sobre o conceito de gasto social e seus componentes, bem como disponibiliza a base de dados possibilitando a análise e disseminação das informações relativas ao gasto social pela sociedade como um todo.

Adotou-se como conceito de gasto social aquele destinado a atender às pessoas em situação de vulnerabilidade, bem como os dispêndios que proporcionam oportunidades de promoção social. Ainda, a abrangência aqui adotada é o gasto social executado diretamente pelo Governo Central, bem como as transferências vinculadas a gastos sociais realizadas por esta esfera de governo aos governos estaduais e municipais.

Ou seja, foram levados em consideração todos os dispêndios que transitaram pelo Orçamento Fiscal e da Seguridade Social da União. Destaca-se que na categoria Previdência Social (Regime Geral da Previdência Social - RGPS e Regime Próprio da Previdência Social – RPPS) são apresentadas duas óticas de análise que são chamadas de “visão geral” e “visão restrita”. Na visão restrita foram consideradas apenas as parcelas dos benefícios de características previdenciárias que não superam o limite de um salário mínimo por mês. Este corte se justifica porque muitos beneficiários recebem valores acima do que seria necessário para prover o acesso a bens e serviços básicos. Ainda, foram trazidas à análise os gastos tributários de caráter social implementados pelo Governo Federal brasileiro.

As fontes primárias de informação consistem primordialmente dos registros contábeis disponíveis para consulta no SIAFI – Sistema Integrado de Administração Financeira do Governo Federal, a base de dados históricos da Previdência Social - Aeps Infologo - disponibilizada pelo Ministério do Trabalho e da Previdência Social para as informações sobre gastos previdenciários, bem como as informações disponíveis no sítio da Secretaria da Receita Federal do Brasil sobre os gastos tributários implementados pelo governo brasileiro, além das informações constantes nos planos plurianuais divulgados para o período em estudo.";"Despesas OFSS,Gastos Sociais,Governo Central,Resultado Fiscal";"2";"0";"62";"0"
"Ministério da Fazenda";"Taxas de câmbio utilizadas nos cronogramas de pagamento das operações de crédito contratadas por estados e municípios";"No âmbito da verificação de limites e condições para contratação de operações de crédito e garantias por governos regionais (ver Manual para Instrução de Pleitos, em conteudo.tesouro.gov.br/mip), os governos regionais submetem à Secretaria do Tesouro Nacional (STN) ou à instituição financeira credora as taxas de câmbio utilizadas para projeção dos pagamentos de suas dívidas contratadas em moeda estrangeira.";"Estados e Municípios,LRF,PVL,operações de crédito";"2";"0";"0";"0"
"Ministério da Fazenda";"Despesas com o Sistema Integrado de Administração Financeira - SIAFI - Ambiente de Produção";"Este conjunto de dados apresenta as despesas utilizadas para custeio do ambiente de produção do SIAFI Operacional em cada Exercício Financeiro.  ";"Gestão Corporativa,SIAFI";"2";"0";"5";"0"
"Ministério da Fazenda";"Receita Orçamentária da União";"Receita Orçamentária da União é a receita que ingressa de forma definitiva no patrimônio da União, são recursos próprios que poderão financiar políticas públicas e os programas de governo, podendo estar ou não prevista na Lei Orçamentária. Esta informação é disponibilizada por meio de arquivos que classificam a receita";"Administração Financeira e Orçamentária da União,Contabilidade Pública,Orçamento e Finanças da União,Receitas";"2";"0";"46";"0"
"Ministério da Fazenda";"Contratos de TI gerenciados no Tesouro Nacional";"Lista de contratos de TI gerenciados na Secretaria do Tesouro Nacional";"Gestão Corporativa,Gestão de TI,TI";"4";"0";"11";"0"
"Ministério da Fazenda";"Comparativo RTN x RREO";"A publicação do Relatório Resumido de Execução Orçamentária - RREO - Anexo 6 apresenta metodologia de apuração do Resultado Primário e Nominal para a União distinta da adotada atualmente no boletim Resultado do Tesouro Nacional (RTN), utilizando dados contábeis e orçamentários registrados no SIAFI.

A alteração é resultado do trabalho realizado ao longo de 2017 em que foram analisadas e propostas medidas de aprimoramento conceitual e normativo de forma a harmonizar o resultado fiscal (primário e nominal) com a Dívida Consolidada Líquida - DCL com base no disposto na Lei de Responsabilidade Fiscal - LRF e no Manual de Demonstrativos Fiscais – MDF

O resultado do trabalho subsidiou a revisão dos Manuais de Demonstrativos Fiscais elaborados pela STN em observância aos preceitos da LRF e contribuirá para a melhoria da transparência fiscal permitindo a comparabilidade dos dados entre os entes da Federação

As Principais Diferenças entre as metodologias de apuração estão no tema 19 das séries temporais do Tesouro Nacional

https://www.tesourotransparente.gov.br/visualizacao/series-temporais-do-tesouro-nacional
";"RREO,RTN,Resultado Nominal,Resultado Primário";"1";"0";"2";"0"
"Ministério da Fazenda";"Limites da LRF para a União: Garantias Concedidas";"Séries históricas quadrimestrais dos valores referentes aos limites da LRF para  Concessão de Garantias.

O artigo de abertura da Lei de Responsabilidade Fiscal, em seu parágrafo primeiro, declara: 

""A responsabilidade na gestão fiscal pressupõe a ação planejada e transparente, em que se previnem riscos e corrigem desvios capazes de afetar o equilíbrio das contas públicas, mediante o cumprimento de metas de resultados entre receitas e despesas e a obediência a limites e condições no que tange a renúncia de receita, geração de despesas com pessoal, da seguridade social e outras, dívidas consolidada e mobiliária, operações de crédito, inclusive por antecipação de receita, concessão de garantia e inscrição em Restos a Pagar."" 

Este conjunto de dados demonstra o cumprimento, por parte da União (no caso das Despesas com Pessoal, apenas para o Poder Executivo), dos limites estabelecidos pela LRF, a saber: 
• despesa total com pessoal; 
• dívida consolidada; 
• concessão de garantias e contragarantias; e 
• operações de crédito. 

O cumprimento desses limites são demonstrados por meio do Relatório de Gestão Fiscal, um dos instrumentos de transparência da gestão fiscal criados pela LRF. Esse relatório é emitido quadrimestralmente pelos titulares dos Poderes e dos órgãos referidos no art. 20 da Lei. 

Os relatórios do Poder Executivo Federal (em PDF) podem ser acessados na página: http://www.tesouro.gov.br/web/stn/-/relatorio-de-gestao-fiscal 

As saídas de dados disponibilizadas aqui representam os principais valores apurados especificamente para a verificação dos limites mencionados acima. Assim, deve-se ter em mente que as informações deste conjunto de dados seguem metodologia própria, definida de acordo com os critérios estabelecidos pela LRF, pelo Manual de Demonstrativos Fiscais e eventuais recomendações e determinações do Tribunal de Contas da União, que realiza a verificação do cumprimento desses limites a cada quadrimestre. Dessa forma, podem eventualmente existir divergências entre esses valores e outros divulgados neste portal no âmbito de outros conjuntos de dados, com nomes semelhantes. ";"Contabilidade Pública,Execução Orçamentária,Lei de responsabilidade fiscal,Responsabilidade Fiscal da União";"2";"0";"1";"0"
"Ministério da Fazenda";"Extrato de Entregas dos Entes da Federação";"Extrato de todos os relatórios homologados e retificados no Siconfi e de todas as matrizes entregues.";"DCA,Estados e Municípios,MSC,RGF,RREO,Siconfi,União";"2";"0";"21";"0"
"Ministério da Fazenda";"Tabela dos Entes da Federação";"Informações dos Entes da Federação contidas no Siconfi";"Estados e Municípios,MSC,Matriz de Saldos Contábeis,Orgãos,Siconfi";"2";"0";"28";"0"
"Ministério da Fazenda";"Execução dos Instrumentos Estratégicos de TI no Tesouro Nacional";"Este conjunto de dados contém a informações sobre a execução do Plano Estratégico de Tecnologia da Informação - PETI e do Plano Diretor de Tecnologia da Informação PDTI.
Os dados estão listados conforme o percentual alcançado conforme objetivo estratégico e ação executada.
Caso queira acessar o formulário completo do PETI e/ou PDTI, acesse: http://stn.gov.br/web/stn/tecnologia-de-informacao";"Gestão Corporativa,Gestão de TI,Plano Estratégico,TI";"10";"0";"0";"0"
"Ministério da Fazenda";"Fundo Soberano do Brasil";"A série de Patrimônio Líquido do Fundo Soberano do Brasil - FSB faz parte do conjunto de informações utilizadas para fins de monitoramento dos resultados das aplicações financeiras do Fundo, cuja publicidade é dada pelos Relatórios de Desempenho (trimestral), e de Administração (semestral) do FSB, seguindo as melhores práticas para Fundos Soberanos e aos princípios da publicidade e da transparência aplicáveis à Administração Pública. Além disso, o PL do FSB compõe o Balanço de Fundos quando da apuração do Balanço Geral da União - BGU.";"Ativos da União,FSB,Fundo Soberano do Brasil,Haveres Federais,Patrimônio Líquido";"2";"0";"2";"0"
